judul;tanggal;isi_berita
Lawan Diskriminasi CPO, Pemerintah Ajak Pebisnis Gugat Uni Eropa;2019-03-25;"Pemerintah meminta dunia usaha khususnya para pebisnis  kelapa sawit turut menggugat Uni Eropa bila Delegated Act disahkan.
Delegated Act dinilai pemerintah bentuk diskriminasi terhadap  CPO karena melarang pengunaan CPO untuk diesel. CPO juga dimasukan ke komoditas berisiko tinggi.
""Kami mendorong bisnis juga untuk melakukan gugatan,"" ujar Dirjen Perdagangan Luar Negeri Kementerian Perdagangan (Kemendag) Oke Nurwan di Jakarta, Seni (5/3/2019).
Bila gugatan tersebut dilakukan oleh para pengusaha, maka upaya itu akan melengkapi langkah pemerintah membawa persolan diskriminasi CPO ke WTO.
Gugatan itu juga diharapkan memberikan tekanan lebih kepada Uni Eropa bila memutuskan untuk mengadopsi Delegated Act.
""Kami belum memutuskan menggugat menggunakan law firm-nya siapa dan dimana. Jadi agenda itulah yang akan kamj susun semua,"" kata dia.
Di sisi lain, Oke juga mengatakan akan menunggu tindakan keras dari Malaysia. Negeri Jiran tersebut juga memrotes Delegated Act yang mendiskriminasi CPO.
Pemerintah kata Oke, akan saling melengkapi dengan Malaysia untuk melawan diskriminasi CPO.
""Kami pernah memenangkan kasus dumping biodiesel melawan Eropa dimana Indonesia dan Argentina sama-sama menggugat,"" kata dia.
""Tetapi masing-masing ya kan, lalu kita saling melengkapi. beda-beda itu strategi dari satu ke yang lain dan ini kita bahas secara mendalam,"" sambung dia."
KKP Terus Lakukan Langkah Masif, Produksi Tuna Alami Peningkatan;2019-03-25;"Indonesia telah mengalami peningkatan produksi tuna yang signifikan sejak 2015. Hal ini tidak lepas oleh langkah masif yang dilakukan Kementrian Perikanan dan Kelautan RI.
Dirjen Perikanan Tangkap Kementrian Kelautan dan Perikanan RI, M Zulficar Mochtar memberikan konfirmasi terkait hal itu.
""Hal ini terindikasi kuat merupakan hasil dari kebijakan pemberantasan IUU Fishing yg masif dilakukan oleh  KKP. Baik melalui moratorium kapal asing, penangkapan dan penenggelaman kapal ilegal yang masuk ke wilayah teritori Indonesia maupun dengan penertiban rumpon yang dilakukan KKP,"" lanjutnya.
Karena produksi tuna meningkat, tahun lalu Indonesia bahkan menjadi negara penghasil tuna terbesar dan menyumbang 16 persen produksi global.
Menurut Zulficar, tren kenaikan produksi tuna terlihat sejak tahun 2015. Berdasarkan data stastistik yang telah dihimpun, produksi tuna Indonesia secara total sebanyak 670.512 ton pada 2015, meningkat menjadi 714.148 ton di tahun 2016 dan 760.781 ton di tahun 2017.
Zulficar mengatakan, kenaikan tersebut bukan hanya berasal dari perikanan skala besar, perikanan skala kecil pun berkontribusi cukup besar untuk kenaikan produksi tuna.
""Indikasi kenaikan tersebut sesuai hasil analisa, bukan hanya berasal dari perikanan skala besar. Perikanan skala kecil berkontribusi cukup besar pada produksi perikanan tuna di Indonesia terutama di perairan teritorial dan kepulauan,"" sebut Zulficar.
Sebagai contoh, hal tersebut dapat dilihat dari produksi tuna jenis mata besar (BET) dengan perbandingan yang cukup signifikan antara produksi BET di perairan kepulauan (WPPNRI 713, 714 dan 715) sebesar 9.559 ton dengan produksi BET di WPPNRI 716 dan 717 sebesar 771 ton.
""Jadi hasil kebijakan pemberantasan IUU Fishing ini, telah membawa berkah khususnya kepada nelayan-nelayan skala kecil, karena tuna sekarang menjadi lebih mudah tertangkap di wilayah perairan kita yg memang kaya akan sumber daya tuna,"" tutup Zulficar"
Ada Aturan Besaran Tarif Ojek Online, Bagaimana dengan Tarif Promo?;2019-03-25;"Kementerian Perhubungan (Kemenhub) telah menetapkan besaran  tarif  ojek online.  Tarif itu akan mulai berlaku pada 1 Mei 2019 mendatang.
Setelah besaran tarif dipatok, bagaimana nasib  tarif promo yang kerap diterapkan oleh aplikator ojek online di Indonesia?
Menjawab pertanyaan tersebut, Direktur Jenderal Perhubungan Darat Kemenhub Budi Setiyadi mengatakan, aplikator tetap boleh melakukan tarif promo. Akan tetapi, tarif tersebut tak boleh di bawah tarif batas bawah yang telah ditentukan.
Baca juga: Kemenhub Akhirnya Putuskan Tarif Ojek Online, Ini Besarannya
“Jadi kalau menyangkut promo, itu tidak boleh melebihi tarif batas bawah secara netto. Tidak boleh lebih rendah dari angka yang sudah kami tentukan,"" ujar Budi di kantornya, Jakarta, Senin (25/3/2019).
Selain itu, lanjut Budi, aplikator juga tak boleh menaikan tarif lebih mahal dari tarif batas atas yang telah ditentukan. Biasanya, aplikator kerap menaikan tarif di waktu-waktu tertentu seperti misalnya saat malam dan jam-jam sibuk.
“Otomatis juga aplikator tak boleh memainkan tarif batas atas, yang kadang terjadi di saat-saat tertentu,"" kata Budi.
Baca juga: Kemenhub Bandingkan Tarif Ojek Online di Thailand dan Vietnam
Sebelumnya, Kementerian Perhubungan telah menentukan besaran tarif ojek online. Penetapan tarif ini sendiri dibagi menjadi tiga zona.
Sistem zonasi ini sendiri terdiri dari, zona I yang meliputi Sumatera, Jawa selain Jabodetabek dan Bali. Zona II terdiri dari kawasan Jakarta, Bogor, Depok, Tangerang dan Bekasi. Sedangkan Zona III terdiri dari Kalimantan, Sulawesi, Nusa Tenggara, Maluku dan Papua.
Untuk zona I, tarif batas bawahnya sebesar Rp 1.850 per kilometernya dan tarif batas atasnya Rp 2.300. Untuk biaya jasa minimalnya Rp 7.000 sampai dengan Rp 10.000. Biaya jasa minimal merupakan biaya yang dibayarkan penumpang untuk jarak tempuh maksimal 4 kilometer.
Baca juga: Alotnya Penetapan Tarif Ojek Online...
Di zona II, tarif batas bawahnya sebesar Rp 2.000 dan tarif batas atasnya Rp 2.300 per kilometernya. Untuk biaya jasa minimalnya Rp 8.000 sampai dengan Rp 10.000.
Sedangkan di zona III tarif batas bawahnya sebesar Rp 2.100 dan tarif batas atasnya Rp 2.600 per kilometernya. Untuk biaya jasa minimalnya Rp 7.000 sampai dengan Rp 10.000.
Besaran tarif ini merupakan biaya jasa yang sudah mendapat potongan biaya sewa aplikasi atau tarif bersih (nett) yang diterima pengemudi ojek online. Tarif ini akan mulai berlaku pada 1 Mei 2019 mendatang."
Aplikator Boleh Patok Harga Lebih Besar 20 Persen dari Tarif yang Ditentukan;2019-03-25;"Dirjen Perhubungan Darat Kementerian Perhubungan, Budi Setiyadi mengatakan, aplikator  ojek online boleh mengenakan biaya tambahan maksimal 20 persen dari tarif yang telah ditentukan pihaknya.
Biaya tambahan maksimal 20 persen itu merupakan biaya tak langsung atau biaya sewa penggunaan aplikasi. Sedangkan biaya yang telah ditetapkan Kemenhub merupakan tarif bersih (nett) yang diterima pengemudi.
“Tarif perhitungan yang dilakukan biaya langsung saja dan biaya tidak langsung sebagai biaya jasa yang ada di dalam pihak aplikator 20 persen, tidak boleh lebih kemudian, 80 persen hak pengemudi,” ujar Budi di kantornya, Jakarta, Senin (25/3/2019).
Dengan begitu, pengguna jasa ojek online akan membayar tarif lebih besar 20 persen dari yang telah ditetapkan Kemenhub. Jika tarifnya Rp 2.000 per kilometer, maka yang harus dibayarkan pengguna sebesar Rp 2.400.
“Terkait dengan masalah tarif ini pendekatannya memang belum dapat menyenangkan semua pihak, kalau ada pihak yang merasa belum sesuai, kita masih buka forum diskusi,” kata Budi.
Sebelumnya, Kementerian Perhubungan telah menentukan besaran tarif ojek online. Penetapan tarif ini sendiri dibagi menjadi tiga zona.
Sistem zonasi ini sendiri terdiri dari, zona I yang meliputi Sumatera, Jawa selain Jabodetabek dan Bali. Zona II terdiri dari kawasan Jakarta, Bogor, Depok, Tangerang dan Bekasi. Sedangkan Zona III terdiri dari Kalimantan, Sulawesi, Nusa Tenggara, Maluku dan Papua.
Untuk zona I, tarif batas bawahnya sebesar Rp 1.850 per kilometernya dan tarif batas atasnya Rp 2.300. Untuk biaya jasa minimalnya Rp 7.000 sampai dengan Rp 10.000. Biaya jasa minimal merupakan biaya yang dibayarkan penumpang untuk jarak tempuh maksimal 4 kilometer.
Di zona II, tarif batas bawahnya sebesar Rp 2.000 dan tarif batas atasnya Rp 2.300 per kilometernya. Untuk biaya jasa minimalnya Rp 8.000 sampai dengan Rp 10.000.
Sedangkan di zona III tarif batas bawahnya sebesar Rp 2.100 dan tarif batas atasnya Rp 2.600 per kilometernya. Untuk biaya jasa minimalnya Rp 7.000 sampai dengan Rp 10.000.
Besaran tarif ini merupakan biaya jasa yang sudah mendapat potongan biaya sewa aplikasi atau tarif bersih (nett) yang diterima pengemudi ojek online. Tarif ini akan mulai berlaku pada 1 Mei 2019 mendatang.



"
Menurut Bill Gates, Lakukan Trik Ini agar Sukses Sejak Muda;2019-03-25;"Pendiri Microsoft dan miliarder  Bill Gates membagikan trik kepada publik khususnya  milenial jika ingin  sukses di usia muda sepertinya.
Gates menyarankan untuk memperdalam hobi obsesif, yang ditekuni sejak masa remaja.
""Hal yang Anda lakukan secara obsesif antara usia 13-18 tahun adalah kunci untuk menjadi sukses kelas dunia,"" kata Gates seperti dilansir dari CNBC, Senin (25/3/2019).
Trik ini juga dibagikan Gates kepada mahasiswa Harvard dalam sesi tanya jawab di kelasnya tahun lalu. Lantas, mengapa Gates menyarankan demikian?
Baca juga: Bill Gates dan Jeff Bezos Masuk Klub Eksklusif 100 Miliar Dollar AS
Kekayaan Gates ternyata berasal dari obsesinya pada masa remaja, yakni membuat perangkat lunak. Hobi itu berjalan dengan cukup baik karena Gates kemudian ikut mendirikan Microsoft dan menjadi jutawan di usia 20 tahun.
""Saya hanya punya satu hal yang ingin saya lakukan secara obsesif mulai usia 13 hingga 18, yaitu mencoba menulis perangkat lunak yang baik,"" ucap Gates.
Gates, yang terobsesi dengan perangkat lunak sejak usia sangat muda mulai terkenal membuat perangkat lunak saat menjadi mahasiswa di Lakeside School di Seattle. Kemudian dia bertemu sesama pendiri Microsoft Paul Allen.
Baca juga: 17 Fakta di Balik Kesuksesan Bill Gates
Program perangkat lunak pertama yang pernah dibuat Gates adalah versi digital dari game tic-tac-toe yang dapat dimainkan melawan komputer.
Meskipun Gates menunjukkan keterampilannya untuk pengkodean, dia tetap belajar banyak hal sehingga dia mencapai titik di mana dia adalah salah satu yang terbaik.
""Saya pikir saya benar-benar baik. Tapi setelah saya bekerja dengan beberapa orang dalam proyek menulis perangkat lunak, orang-orang itu bahkan lebih unggul,"" kata Gates.
Baca juga: Bill Gates, Elon Musk, dan Mark Cuban Hentikan 3 Kebiasaan Ini Sebelum Mereka SuksesNamun, hal itu tidak menyurutkan semangatnya. Ia bahkan menggunakan momen tersebut untuk membandingkan kodenya dengan orang lain dan mempelajari lebih lanjut.
Gates mengungkapkan, dirinya kerap sendirian dalam menciptakan perangkat lunak untuk mengukur seberapa tangguh dirinya sehingga dia mampu menjadi pembuat kode kelas dunia.
"
Kemenhub Bandingkan Tarif Ojek Online di Thailand dan Vietnam;2019-03-25;" Kementerian Perhubungan telah menentukan besaran  tarif ojek online.
Menurut Dirjen Perhubungan Darat Kemenhub, Budi Setiyadi, besaran tarif ini ditetapkan setelah pihaknya membandingkan dengan Thailand dan Vietnam. Kedua negara tersebut diketahui juga memiliki ojek online.
“Kita benchmarking, terutama dengan negara-negara di Asia Tenggara,” ujar Budi di kantornya, Jakarta, Senin (25/3/2019).
Budi menyampaikan, besaran tarif ojek online yang telah dikeluarkan Kemenhub tak jauh beda dengan kedua negara tersebut.
Di Thailand, kata Budi, tarif per kilometernya sekitar 5 baht atau Rp 2.240. Namun, dia tak merinci berapa besaran tarif ojek online di Vietnam.
“Di Thailand ada tarif minimal, 20 baht, sekitar Rp 9.000 untuk 4 Km,” kata Budi.
Sebelumnya, Kementerian Perhubungan akhirnya telah menentukan besaran tarif ojek online. Penetapan tarif ini sendiri dibagi menjadi tiga zona.
Sistem zonasi ini sendiri terdiri dari, zona I yang meliputi Sumatera, Jawa selain Jabodetabek dan Bali. Zona II terdiri dari kawasan Jakarta, Bogor, Depok, Tangerang dan Bekasi. Sedangkan Zona III terdiri dari Kalimantan, Sulawesi, Nusa Tenggara, Maluku dan Papua.
Untuk zona I, tarif batas bawahnya sebesar Rp 1.850 per kilometernya dan tarif batas atasnya Rp 2.300. Untuk biaya jasa minimalnya Rp 7.000 sampai dengan Rp 10.000. Biaya jasa minimal merupakan biaya yang dibayarkan penumpang untuk jarak tempuh maksimal 4 kilometer.
Di zona II, tarif batas bawahnya sebesar Rp 2.000 dan tarif batas atasnya Rp 2.300 per kilometernya. Untuk biaya jasa minimalnya Rp 8.000 sampai dengan Rp 10.000.
Sedangkan di zona III tarif batas bawahnya sebesar Rp 2.100 dan tarif batas atasnya Rp 2.600 per kilometernya. Untuk biaya jasa minimalnya Rp 7.000 sampai dengan Rp 10.000.
Besaran tarif ini merupakan biaya jasa yang sudah mendapat potongan biaya sewa aplikasi atau tarif bersih (nett) yang diterima pengemudi ojek online. Tarif ini akan mulai berlaku pada 1 Mei 2019 mendatang."
CPO Didiskriminasi, Pemerintah Galang Dukungan DPR dan NGO;2019-03-25;"Diskriminasi terhadap minyak  kelapa sawit mentah atau  CPO oleh  Uni Eropa membuat pemerintah menggalang sejumlah dukungan lembaga negara, salah satunya yakni Dewan Perwakilan Rakyat (DPR).
Staf Ahli Diplomasi Ekonomi Kementerian Luar Negeri Peter Frans Gontha mengatakan, DPR akan mengirim surat kepada Parlemen Uni Eropa terkait Delegated Act CPO.
""Jadi parliament to parliament. Juga akan ada satu press release yang akan dikeluarkan oleh DPR juga,"" ujarnya usai rapat koordinasi di Kantor Kementerian Koordinator Bidang Perekonomian, Jakarta, Senin (25/3/2019)
""Bahkan DPR juga menulis surat kepada pimpinan negara bahwa kita perlu melakukan satu tindakan. Kita harus bersatu,"" sambung dia.
Baca juga: RI Didiskriminasi soal CPO, Uni Eropa Klaim Telah Patuhi WTO
Delegated Act merupakan dokumen yang dibuat oleh Komisi Eropa. Aturan itu ditentang oleh Indonesia karena melarang pengunaan CPO untuk biodisel dan memasukan kelapa sawit sebagai komoditas berisiko tinggi.
Dalam waktu dekat, Delegated Act akan di bawa ke Parlemen Uni Eropa untuk disahkan atau ditolak. Oleh karena itu, DPR menyurati Parlemen Uni Eropa terkait persoalan CPO.
Selain DPR, Peter mengungkapan juga menggalang dukungan dati lembaga swadaya masyarakat atau NGO terkait CPO. Namun, ia tidak menyebutkan NGO mana saya yang dimaksud.
Baca juga: Tanggapan Uni Eropa soal Ancaman RI Boikot Produknya Gara-gara CPO
""Kami memang membuat kesalahan, kita harus akui ya bahwa kita juga membuat kesalahan. Tapi kan sekarang kita juga sudah mengikuti climate change policy,"" kata dia.
""Indonesia menjadi salah satu negara yang paling aktif mengikuti persyaratan agar supaya kita juga dianggap dunia bahwa kita memperhatikan climate change, tapi kita didiskriminasi,"" ucap dia."
"Cerita Netizen Miami yang Terlilit Utang demi Jadi ""Bintang"" Instagram";2019-03-25;"dan beberapa dari mereka tampaknya menghabiskan ribuan dolar untuk melakukannya.
Bagi sebagian orang, ini mengarah pada hasil besar. Influencer yang berhasil dapat menghasilkan ribuan dolar per posting dan bahkan mungkin lebih berpengaruh daripada selebriti lainnya.
Sebagai contoh, Lauren Bullen, 24, dan Jack Morris, 26, duo travel-blogging terkenal, mengatakan mereka membuat gaji enam digit berkeliling dunia bersama. Dalam sebuah wawancara baru-baru ini dengan Cosmopolitan, Morris mengatakan dia tidak akan mengirim kurang dari $ 3.000 dari sponsor.
Tetapi bagi orang lain, gaya hidup bisa melumpuhkan secara finansial.
Calveiro mengatakan kepada Post bahwa “tidak ada yang berbicara tentang” keuangan mereka di Instagram.
""Itu membuatku khawatir betapa aku melihat gadis-gadis peduli dengan citra,"" katanya.
Calveiro menambahkan bahwa dia memiliki ""banyak peluang untuk diselamatkan.""
""Saya bisa menginvestasikan uang itu dalam sesuatu,"" katanya.
Instagram telah menciptakan generasi konsumen yang terobsesi membuat hidup mereka terlihat sempurna. Beberapa dari mereka rela menghabiskan jutaan rupiah untuk melakukannya.
Tak dimungkiri, bagi sebagian dari mereka, menjadi selebritis di media sosial punya dampak yang besar. Influencer yang berhasil dapat menghasilkan ribuan dolar untuk satu kali unggahan, dan bahkan mungkin lebih berpengaruh daripada selebriti lainnya.
Sebagai contoh, Lauren Bullen dan Jack Morris, duo travel-blogging terkenal, menyatakan bahwa mereka bisa menghasilkan hingga enam digit hanya dengan berkeliling dunia bersama. Dalam sebuah wawancara baru-baru ini dengan Cosmopolitan, Morris mengatakan dia tidak akan mengirim kurang dari 3.000 dollar AS dari sponsor.
Tetapi, bagi orang lain, gaya hidup bisa melumpuhkan secara finansial.
Calveiro mengatakan tidak ada yang berbicara tentang masalah keuangan mereka di Instagram.
""Itu membuatku khawatir betapa aku melihat gadis-gadis peduli dengan citra,"" kata dia.
Upaya bergaya hidup sempurna di media sosial tidak hanya mendorong beberapa pengguna Instagram untuk berutang, tapi juga berkontribusi pada beberapa masalah budaya yang lebih luas. Sebagaimana dikutip dari Business Insider, Royal Society for Public Health yang berbasis di Inggris baru-baru ini menyebut Instagram merupakan aplikasi media sosial terburuk untuk kesehatan mental.
Penelitiannya terhadap hampir 1.500 warga Inggris berusia 14 hingga 24 tahun menunjukkan bahwa orang muda kemungkinan besar mengaitkan Instagram dengan kesejahteraan mental negatif dan perasaan tidak mampu serta cemas.
""Media sosial telah digambarkan lebih adiktif daripada rokok dan alkohol dan sekarang begitu mengakar dalam kehidupan orang muda sehingga tidak mungkin lagi mengabaikannya ketika berbicara tentang masalah kesehatan mental anak muda,"" ujar Shirley Cramer, CEO dari organisasi tersebut.
Instagram bukan satu-satunya hal yang patut disalahkan. Obsesi terhadap objek visual sudah ada jauh sebelum aplikasi semacam itu meledak dan populer. Namun, sebuah penelitian yang diterbitkan pada tahun 2012 oleh American Psychological Association yang mengamati 9 juta orang muda di atas 40 tahun menemukan bahwa generasi milenium lebih peduli pada generasi sebelumnya tentang uang dan citra.
Penelitian itu menunjukkan bahwa proporsi siswa yang mengatakan menjadi kaya sangat penting bagi mereka meningkat dari 45 persen untuk baby boomer (disurvei antara 1966 dan 1978) menjadi 70 persen untuk Generasi Xers (disurvei antara 1979 dan 1999), dan 75 persen untuk milenial (disurvei antara 2000 dan 2009).



"
"Gaet Milenial, NAM Air Akan Usung Konsep ""Boutique Airline""";2019-03-25;"Potensi pasar generasi  milenial yang besar mulai membuat  maskapai melakukan penyesuaian dalam strategi bisnisnya. Salah satunya seperti yang dilakukan oleh maskapai  NAM Air.
Direktur NAM Air Asa Perkasa mengatakan, pihaknya akan mengusung konsep baru untuk menjaring penumpang milenial. Konsep tersebut yakni Boutique Airline.
“Mulai dari style sampai kepada produk yang ditawarkan NAM Air nanti akan banyak yang berubah,"" ujarnya dalam siaran pers, Jakarta, Senin (25/3/2019).
Baca juga: NAM Air Jadi Maskapai Paling Tepat Waktu, Ini Daftar Lengkapnya
""Menjadi lebih milenial dan kekinian. Namun demikian, sentuhan yang akan diberikan tetap khas Indonesia,” sambung dia.
Meski belum menjelaskan secara rinci konsep Boutique Airline tersebut, namun Asa menyatakan konsep itu akan menampilkan layanan unik yang lebih maskulin dan menyasar para kaum milenial menengah.
Asa mengatakan, konsep baru yang akan digunakan NAM Air nanti akan memberikan sentuhan yang berbeda dan berkesan mulai dari sebelum penerbangan, selama penerbangan sampai kepada setelah penerbangan.
Baca juga: NAM Air Miliki Pesawat ATR 72-600 Pertama
Secara internal ucapnya, konsep tersebut juga akan diimpelentasikan mulai dari gaya hidup millenial dalam bekerja, mulai dari berpakaian, ruang kerja, hingga bisnis proses.
""Dan tentunya kami pun turut aktif memberikan pelatihan dan sosialisasi kepada seluruh karyawan NAM Air agar bisa cocok dengan target pasar yang dilayani,"" kata Asa.
Dengan perubahan itu, kata dia, NAM Air optimis dapat memberikan pelayanan kepada millenial yang hobi travelling atau bepergian ke luar kota."
5 Perusahaan Teknologi dengan Lingkungan Kerja Terbaik, Ini Daftarnya;2019-03-25;"Pekerjaan di sektor teknologi kerap memiliki jam kerja yang panjang dan budaya kerja nonstop. Ini pun membuat karyawan hanya memiliki sedikit waktu untuk melakukan hal-hal lainnya.
Meskipun memiliki tekanan kerja yang berat, namun banyak  perusahaan teknologi memberikan beragam fasilitas dan  tunjangan bagi karyawannya. Situs pencarian lowongan kerja Indeed baru-baru ini membuat daftar 10 perusahaan yang memiliki  lingkungan kerja terbaik.
Dikutip dari CNBC, Senin (25/3/2019), berikut adalah 5 besar perusahaan tersebut.
1.  Facebook Perusahaan yang berkantor pusat di Menlo Park, California, AS ini disebut membayarkan uang sewa tempat tinggal para karyawan magangnya. Tak hanya itu, perusahaan jejaring sosial ini juga disebut memiliki lingkungan kerja terbaik.
Bahkan, salah satu karyawan menyebut bahwa Facebook adalah perusahaan tempat kerja yang luar biasa, dengan berbagai tunjangan dan manfaat, dan dikelilingi oleh orang-orang yang sangat cerdas.
2. Adobe Ini adalah tahun kedua Adobe berada di peringkat kedua daftar yang disusun oleh Indeed tersebut. Adobe berkantor pusat di San Jose, California, AS.
Adobe dipuji lantaran memiliki budaya kerja yang transparan dan inklusif. Baru-baru ini pun Adobe telah mencapai kesetaraan gaji berdasarkan gender di tataran global.
3.  Airbnb Airbnb, perusahaan aplikasi sewa akomodasi asal San Francisco, California adalah pendatang baru dalam daftar ini. Ada tunjangan liburan dan tinggal di akomodasi Airbnb bagi karyawan hingga 2.000 dollar AS per tahun atau setara sekira Rp 28,2 juta (kurs Rp 14.100 per dollar AS).
Salah satu karyawan juga memuji Airbnb lantaran memiliki kantor yang mengagumkan dan manfaat yang mengasyikkan, seperti sarapan pagi, makan siang, camilan, asuransi kesehatan, jam kerja yang menyenangkan, kupon perjalanan setiap kuartal bagi karyawan, laptop disediakan, dan sebagainya.
4. Intuit Intuit adalah perusahaan perangkat lunak finansial yang berkator pusat di Mountain View, California. Perusahaan ini memberikan kebijakan 10 persen waktu kerja tak terstruktur bagi karyawannya.
Maksudnya, karyawan diperbolehkan menggunakan 10 persen dari jam kerja mereka untuk melakukan sesuatu yang mereka senangi, meski ini tak berhubungan dengan Intuit.
5. Yahoo Yahoo berkantor pusat di Sunnyvale, California. Perusahaan internet ini dipuji karena budaya kerja dan kemampuan untuk merekrut orang-orang yang benar-benar memiliki kapabilitas.
Salah satu karyawan menulis pada platform Indeed bahwa Yahoo memiliki orang-orang dan tim yang luar biasa, serta keinginan untuk melakukan hal ekstra demi membantu rekan kerja.

"
